activity_id,id,name,category,sector,source,source_link,source_dataset,uncertainty,year,year_released,region,region_name,description,unit_type,unit,source_lca_activity,data_quality_flags,access_type,supported_calculation_methods,factor,factor_calculation_method,factor_calculation_origin,constituent_gases.co2e_total,constituent_gases.co2e_other,constituent_gases.co2,constituent_gases.ch4,constituent_gases.n2o
building_materials-type_average_construction_primary_material_production,e91ca8ef-c682-412d-a0b8-9554d45de9cc,Average construction (Primary material production),Building Materials,Materials and Manufacturing,BEIS,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,UK Government GHG Conversion Factors for Company Reporting,,2022,2022,GB,United Kingdom,Emission intensity of average construction (primary material production). The EF should be used to report on consumption of procured materials based on their origin (that is comprised of primary material or recycled materials). For primary materials these factors cover the extraction/primary processing/manufacturing and transportation materials to the point of sale not the materials in use. For secondary materials the factors cover sorting/processing/manufacturing and transportation to the point of sale not the materials in use. Retrieved from the Conversion Factors 2022: flat file published by the UK BEIS/Defra at the source URL.,Weight,kg/tonne,cradle_to_gate,[],public,['ar4'],80.33777,ar4,source,80.33777,,,,
building_materials-type_bricks_tiles_construction_products_in_baked_clay,e0660bae-bf15-4bbf-9d36-282420b2334b,Bricks/tiles and construction products in baked clay,Building Materials,Materials and Manufacturing,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,GB,United Kingdom,Emission intensity of supply chain in EUR spend on: bricks/tiles and construction products in baked clay. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",0.4336,ar5,source,0.4336,,,,
professional_services-type_services_of_head_offices_management_consulting_services,7db927b2-11cb-46b6-a052-d70dc27ef8cf,Services of head offices/management consulting services,Professional Services and Activities,Organizational Activities,BEIS,https://www.gov.uk/government/statistics/uks-carbon-footprint,UK full dataset including conversion factors by SIC code,,2019,2019,GB,United Kingdom,Emission intensity of supply chain in GBP spend on: services of head offices/management consulting services. Provided by BEIS/DEFRA in the official report on UK and England's carbon footprint to 2019,Money,kg/gbp,unknown,[],public,['ar4'],0.10400000000000001,ar4,source,0.10400000000000001,,0.08199999999999999,,
construction-type_construction_work,cd6c699b-26b5-4c40-aa08-5438870aeaf1,Construction work,Construction,Buildings and Infrastructure,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,CN,China,Emission intensity of supply chain in EUR spend on: construction work. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",1.6356,ar5,source,1.6356,,,,
building_materials-type_bricks_tiles_construction_products_in_baked_clay,339b5d15-bf71-4744-b3aa-fb3cd79c1e35,Bricks/tiles and construction products in baked clay,Building Materials,Materials and Manufacturing,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,CN,China,Emission intensity of supply chain in EUR spend on: bricks/tiles and construction products in baked clay. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",3.5865,ar5,source,3.5865,,,,
construction-type_na,323440de-ad65-474d-9400-d582b567c830,Construction,Construction,Buildings and Infrastructure,GHG Protocol,https://quantis-suite.com/Scope-3-Evaluator/,Quantis and GHG Protocol Scope 3 Evaluator,,2016,2017,GLOBAL,Global,Emission intensity of supply chain (purchase of service/standard good/capital good) in US dollars spend on: construction. Factors retrieved from the Quantis+GHG Protocol Scope 3 Calculator for the year 2016 and apply for years beyond 2016. The same emission factor applies to different types of investments in joint ventures/subsidiaries/associate companies that were not captured in Scope 1 emissions.,Money,kg/usd,unknown,[],public,['ar4'],0.6932,ar4,source,0.6932,,,,
building_materials-type_concrete_block_wall_single_skin_aac_concrete_block_average_strength_inc_mortar_not_inc_construction_waste-size_100_mm_thickness_wall,5b801bf2-58e7-44af-a3c1-28954f81e7ef,100 mm thickness wall - single skin AAC concrete block - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 100 mm thickness wall - single skin AAC concrete block - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],18.178,ar4,source,18.178,,,,
building_materials-type_concrete_block_wall_single_skin_aac_concrete_block_average_strength_inc_mortar_not_inc_construction_waste-size_140_mm_thickness_wall,872fbabd-440d-480f-9345-de91ccc8cd11,140 mm thickness wall - single skin AAC concrete block - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 140 mm thickness wall - single skin AAC concrete block - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],25.449,ar4,source,25.449,,,,
building_materials-type_concrete_block_wall_single_skin_aac_concrete_block_average_strength_inc_mortar_not_inc_construction_waste-size_150_mm_thickness_wall,b49adb59-33a9-42a2-9959-956863c0b51a,150 mm thickness wall - single skin AAC concrete block - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 150 mm thickness wall - single skin AAC concrete block - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],27.267,ar4,source,27.267,,,,
building_materials-type_concrete_block_wall_single_skin_aac_concrete_block_average_strength_inc_mortar_not_inc_construction_waste-size_215_mm_thickness_wall,b5a18f3b-3ba8-4105-b73c-34cc4d0bd924,215 mm thickness wall - single skin AAC concrete block - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 215 mm thickness wall - single skin AAC concrete block - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],39.082,ar4,source,39.082,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_cellular_high_density_average_strength_inc_mortar_not_inc_construction_waste-size_100_mm_thickness_wall,e2e2f3b8-b7e5-431e-8f95-5c916ddb60a6,100 mm thickness wall - single skin concrete block - cellular - high density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 100 mm thickness wall - single skin concrete block - cellular - high density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],15.85,ar4,source,15.85,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_cellular_high_density_average_strength_inc_mortar_not_inc_construction_waste-size_140_mm_thickness_wall,be8c1451-b2cb-4e4d-a31e-bd9d972e2b6a,140 mm thickness wall - single skin concrete block - cellular - high density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 140 mm thickness wall - single skin concrete block - cellular - high density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],22.722,ar4,source,22.722,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_hollowcore_high_density_average_strength_inc_mortar_not_inc_construction_waste-size_140_mm_thickness_wall,4047ea31-af3d-4ba5-9875-0e0349ac8b5f,140 mm thickness wall - single skin concrete block - hollowcore - high density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 140 mm thickness wall - single skin concrete block - hollowcore - high density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],21.164,ar4,source,21.164,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_hollowcore_high_density_average_strength_inc_mortar_not_inc_construction_waste-size_190_mm_thickness_wall,17e63ce3-8043-4b08-8eeb-246197efbfed,190 mm thickness wall - single skin concrete block - hollowcore - high density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 190 mm thickness wall - single skin concrete block - hollowcore - high density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],25.881,ar4,source,25.881,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_hollowcore_high_density_average_strength_inc_mortar_not_inc_construction_waste-size_215_mm_thickness_wall,3b01e747-2840-4eda-bcc4-e68c991e89db,215 mm thickness wall - single skin concrete block - hollowcore - high density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 215 mm thickness wall - single skin concrete block - hollowcore - high density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],28.744,ar4,source,28.744,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_solid_high_density_average_strength_inc_mortar_not_inc_construction_waste-size_100_mm_thickness_wall,bfee3b65-7fea-4fc0-bb67-4b7a761dbcf8,100 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 100 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],19.517,ar4,source,19.517,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_solid_high_density_average_strength_inc_mortar_not_inc_construction_waste-size_140_mm_thickness_wall,c5b8576e-96b4-49af-ae3a-b0f28157fa4f,140 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 140 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],27.58,ar4,source,27.58,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_solid_high_density_average_strength_inc_mortar_not_inc_construction_waste-size_190_mm_thickness_wall,52836148-f197-4a93-b2b9-67f9079a5f2b,190 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 190 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],37.293,ar4,source,37.293,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_solid_high_density_average_strength_inc_mortar_not_inc_construction_waste-size_215_mm_thickness_wall,acbec35d-48f5-4e0d-952f-0d48282bc20f,215 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 215 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],42.035,ar4,source,42.035,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_solid_high_density_average_strength_inc_mortar_not_inc_construction_waste-size_75_mm_thickness_wall,e1711804-768c-4c97-b943-06922bbe5759,75 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 75 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],14.821,ar4,source,14.821,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_solid_high_density_average_strength_inc_mortar_not_inc_construction_waste-size_90_mm_thickness_wall,86342913-31a1-40f3-b512-41c2f9acdaf7,90 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 90 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],17.822,ar4,source,17.822,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_solid_medium_density_average_strength_inc_mortar_not_inc_construction_waste-size_100_mm_thickness_wall,e5985ab4-78bf-470a-8049-c365015794dd,100 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 100 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],14.934,ar4,source,14.934,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_solid_medium_density_average_strength_inc_mortar_not_inc_construction_waste-size_140_mm_thickness_wall,53670175-272b-4766-89d5-eb5d4d26ea98,140 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 140 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],20.889,ar4,source,20.889,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_solid_medium_density_average_strength_inc_mortar_not_inc_construction_waste-size_190_mm_thickness_wall,ea477a85-b54e-46ea-9ede-181f97564169,190 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 190 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],26.798,ar4,source,26.798,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_solid_medium_density_average_strength_inc_mortar_not_inc_construction_waste-size_75_mm_thickness_wall,65dafa70-172e-49f0-b81b-17842db56ecc,75 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 75 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],10.88,ar4,source,10.88,,,,
building_materials-type_concrete_block_wall_single_skin_concrete_block_solid_medium_density_average_strength_inc_mortar_not_inc_construction_waste-size_90_mm_thickness_wall,a08b8f7e-8556-42a1-b835-fd4038aa3843,90 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of 90 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste. block size 440 mm length 215 mm width. Mortar type Mortar or screed (1:4 cement:sand mix - Using CEM I cement). Doesn't include any material waste rate. Estimated from ICE Cement Mortar Concrete model. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Area,kg/m2,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],12.597,ar4,source,12.597,,,,
building_materials-type_aggregates_and_sand_from_recycled_resources_no_heat_treatment_bulk_loose,16014f33-d4f8-46bb-89ef-9b88f1dd82f6,Aggregates and sand - from recycled resources - no heat treatment - bulk - loose,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of aggregates and sand - from recycled resources - no heat treatment - bulk - loose. Based upon the stastical average of all data collected for recycled aggregates with no heat treatment in the ICE Database. Recycled aggregates include aggreagates from construction and demolition waste. It does not cover secondary aggregates such as blaast furnace slag or bottom ash (see seperate category for these). Data for recycled aggregates is more difficult to obtain than for virgin aggregates. There is also a large range in results for recycled aggregates adding uncertainty into the results. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Weight,kg/kg,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],0.006,ar4,source,0.006,,,,
building_materials-type_aggregates_and_sand_from_recycled_resources_with_heat_treatment_bulk_loose,e649d085-3831-47c5-8ffb-18160df38408,Aggregates and sand - from recycled resources - with heat treatment - bulk - loose,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of aggregates and sand - from recycled resources - with heat treatment - bulk - loose. Based upon the stastical average of all data collected for recycled aggregates that have been through heat treatment in the ICE Database. Recycled aggregates include aggreagates from construction and demolition waste. It does not cover secondary aggregates such as blaast furnace slag or bottom ash (see seperate category for these). Data for recycled aggregates is more difficult to obtain than for virgin aggregates. There is also a large range in results for recycled aggregates adding uncertainty into the results. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Weight,kg/kg,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],0.119,ar4,source,0.119,,,,
building_materials-type_road_surface_asphalt_3.5_percent_binder_content,65185589-3cce-4a6d-8b5c-c6e55db86d49,Road surface - asphalt - 3.5% binder content,Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of road surface - asphalt - 3.5% binder content. Surface or binder course at the stated average straight run bitumen content by mass. Cradle to constructed road surface. Using ICE DB average aggregates. Includes embodied carbon of ingredients. Also includes transport of mixed asphalt to site distance 30.2 miles [Ref: Mineral Products Association Sustainable Development Report 2018]. Density is for compacted asphalt. Includes road laying and compacting energy [Ref: TRL report PRP575 (V4) Protocol for the calculation of whole life cycle greenhouse gas emissions generated by asphalt M Wayman et al. 2014.]. Assumed 1% waste during road construction (assumption - specific data was not available). Embodied carbon of bitumen from EuroBitume 2012. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Weight,kg/kg,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],61.458,ar4,source,61.458,,,,
building_materials-type_road_surface_asphalt_3_percent_bitumen_binder_content,49177c83-aff0-4031-a6a3-259b12e691e8,Road surface - asphalt - 3% (bitumen) binder content (by mass),Building Materials,Materials and Manufacturing,Circular Ecology,https://circularecology.com/embodied-carbon-footprint-database.html,ICE Database v3,,2019,2019,GLOBAL,Global,Emission intensity of road surface - asphalt - 3% (bitumen) binder content (by mass). Surface or binder course at the stated average straight run bitumen content by mass. Cradle to constructed road surface. Using ICE DB average aggregates. Includes embodied carbon of ingredients. Also includes transport of mixed asphalt to site distance 30.2 miles [Ref: Mineral Products Association Sustainable Development Report 2018]. Density is for compacted asphalt. Includes road laying and compacting energy [Ref: TRL report PRP575 (V4) Protocol for the calculation of whole life cycle greenhouse gas emissions generated by asphalt M Wayman et al. 2014.]. Assumed 1% waste during road construction (assumption - specific data was not available). Embodied carbon of bitumen from EuroBitume 2012. The source does not clarify if the kgCO2e value is calculated using either IPCC Fourth Assessment Report (AR4) or IPCC Fifth Assessment Report (AR5) methodologies.,Weight,kg/kg,cradle_to_gate,['notable_methodological_variance'],public,['ar4'],60.414,ar4,source,60.414,,,,
